0                    WARNING main_yb_yb_EG_sim      Starting EG attempt at 0.
520,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 520000000000000000.
520,285,710,836,374,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
520,285,710,836,374,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
530,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 53 completed in 285.7483466745 seconds.
530,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 53 took 52582 attempts.
530,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 530000000000000000.
530,106,371,573,374,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
530,106,371,573,374,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
540,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 54 completed in 106.4090833745 seconds.
540,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 54 took 19574 attempts.
540,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 540000000000000000.
540,027,181,913,999,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
540,027,181,913,999,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
550,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 55 completed in 27.219424299499998 seconds.
550,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 55 took 5024 attempts.
550,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 550000000000000000.
550,025,033,762,437,000 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
550,025,033,762,437,000 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
560,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 56 completed in 25.071272437 seconds.
560,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 56 took 4599 attempts.
560,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 560000000000000000.
560,207,873,466,437,000 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
